UID,Year,Make,Model,Trim,Option Codes,,Geography,,Start,End,,,,Cash Only (Before Tax),Cash Only (After Tax),Cash Rebate Dealer Contribution (Before Tax),Cash Rebate Dealer Contribution (After Tax),Note
CHE82597CAN44895,2023,Chevrolet,Silverado 2500HD,WT 4WD Reg Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82598CAN44895,2023,Chevrolet,Silverado 2500HD,WT Crew Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82599CAN44895,2023,Chevrolet,Silverado 2500HD,WT Crew Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82600CAN44895,2023,Chevrolet,Silverado 2500HD,WT Double Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82601CAN44895,2023,Chevrolet,Silverado 2500HD,WT Double Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82602CAN44895,2023,Chevrolet,Silverado 2500HD,WT Reg Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82674CAN44895,2023,Chevrolet,Silverado 3500HD,High Country 4WD Crew Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82675CAN44895,2023,Chevrolet,Silverado 3500HD,High Country 4WD Crew Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82676CAN44895,2023,Chevrolet,Silverado 3500HD,High Country 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82677CAN44895,2023,Chevrolet,Silverado 3500HD,LT 4WD Crew Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82678CAN44895,2023,Chevrolet,Silverado 3500HD,LT 4WD Crew Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82679CAN44895,2023,Chevrolet,Silverado 3500HD,LT 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82680CAN44895,2023,Chevrolet,Silverado 3500HD,LT 4WD Double Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82681CAN44895,2023,Chevrolet,Silverado 3500HD,LT 4WD Double Cab Long box Single Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82682CAN44895,2023,Chevrolet,Silverado 3500HD,LT Crew Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82683CAN44895,2023,Chevrolet,Silverado 3500HD,LT Crew Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82684CAN44895,2023,Chevrolet,Silverado 3500HD,LT Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82685CAN44895,2023,Chevrolet,Silverado 3500HD,LT Double Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82686CAN44895,2023,Chevrolet,Silverado 3500HD,LT Double Cab Long box Single Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82687CAN44895,2023,Chevrolet,Silverado 3500HD,LT REGULAR CAB 4WD Dual Rear Wheels 2-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82688CAN44895,2023,Chevrolet,Silverado 3500HD,LT REGULAR CAB 4WD Single Rear Wheels 2-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82689CAN44895,2023,Chevrolet,Silverado 3500HD,LT Reg Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82690CAN44895,2023,Chevrolet,Silverado 3500HD,LT Reg Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82691CAN44895,2023,Chevrolet,Silverado 3500HD,LTZ 4WD Crew Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82692CAN44895,2023,Chevrolet,Silverado 3500HD,LTZ 4WD Crew Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82693CAN44895,2023,Chevrolet,Silverado 3500HD,LTZ 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82694CAN44895,2023,Chevrolet,Silverado 3500HD,LTZ Crew Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82695CAN44895,2023,Chevrolet,Silverado 3500HD,LTZ Crew Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82696CAN44895,2023,Chevrolet,Silverado 3500HD,LTZ Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82697CAN44895,2023,Chevrolet,Silverado 3500HD,WORK TRUCK REGULAR CAB 4WD Dual Rear Wheels 2-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82698CAN44895,2023,Chevrolet,Silverado 3500HD,WORK TRUCK REGULAR CAB 4WD Single Rear Wheels 2-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82699CAN44895,2023,Chevrolet,Silverado 3500HD,WT 4WD Crew Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82700CAN44895,2023,Chevrolet,Silverado 3500HD,WT 4WD Crew Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82701CAN44895,2023,Chevrolet,Silverado 3500HD,WT 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82702CAN44895,2023,Chevrolet,Silverado 3500HD,WT 4WD Double Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82703CAN44895,2023,Chevrolet,Silverado 3500HD,WT 4WD Double Cab Long box Single Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82704CAN44895,2023,Chevrolet,Silverado 3500HD,WT Crew Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82705CAN44895,2023,Chevrolet,Silverado 3500HD,WT Crew Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82706CAN44895,2023,Chevrolet,Silverado 3500HD,WT Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82707CAN44895,2023,Chevrolet,Silverado 3500HD,WT Double Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82708CAN44895,2023,Chevrolet,Silverado 3500HD,WT Double Cab Long box Single Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82709CAN44895,2023,Chevrolet,Silverado 3500HD,WT Reg Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE82710CAN44895,2023,Chevrolet,Silverado 3500HD,WT Reg Cab Long box Dual Rear Wheels,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83016CAN44895,2023,Chevrolet,Tahoe,High Country 4x4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83017CAN44895,2023,Chevrolet,Tahoe,LS,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83018CAN44895,2023,Chevrolet,Tahoe,LS 4x4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83019CAN44895,2023,Chevrolet,Tahoe,LT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83020CAN44895,2023,Chevrolet,Tahoe,LT 4x4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83021CAN44895,2023,Chevrolet,Tahoe,Premier 4x4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83022CAN44895,2023,Chevrolet,Tahoe,RST 4x4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83023CAN44895,2023,Chevrolet,Tahoe,Z71 4x4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83008CAN44895,2023,Chevrolet,Suburban,High Country 4x4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83009CAN44895,2023,Chevrolet,Suburban,LS,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83010CAN44895,2023,Chevrolet,Suburban,LS 4X4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83011CAN44895,2023,Chevrolet,Suburban,LT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83012CAN44895,2023,Chevrolet,Suburban,LT 4X4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83013CAN44895,2023,Chevrolet,Suburban,Premier 4x4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83014CAN44895,2023,Chevrolet,Suburban,RST 4X4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83015CAN44895,2023,Chevrolet,Suburban,Z71 4X4,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83580CAN44895,2023,Chevrolet,Silverado 1500,Custom 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83581CAN44895,2023,Chevrolet,Silverado 1500,Custom 4WD Crew Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83582CAN44895,2023,Chevrolet,Silverado 1500,Custom 4WD Double Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83583CAN44895,2023,Chevrolet,Silverado 1500,Custom Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83584CAN44895,2023,Chevrolet,Silverado 1500,Custom Double Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83585CAN44895,2023,Chevrolet,Silverado 1500,Custom Trail Boss 4WD Crew Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83586CAN44895,2023,Chevrolet,Silverado 1500,Custom Trail Boss Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83587CAN44895,2023,Chevrolet,Silverado 1500,High Country 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83588CAN44895,2023,Chevrolet,Silverado 1500,High Country 4WD Crew Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83589CAN44895,2023,Chevrolet,Silverado 1500,LT 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83590CAN44895,2023,Chevrolet,Silverado 1500,LT 4WD Crew Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83591CAN44895,2023,Chevrolet,Silverado 1500,LT 4WD Double Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83592CAN44895,2023,Chevrolet,Silverado 1500,LT Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83593CAN44895,2023,Chevrolet,Silverado 1500,LT Crew Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83594CAN44895,2023,Chevrolet,Silverado 1500,LT Double Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83595CAN44895,2023,Chevrolet,Silverado 1500,LT Trail Boss 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83596CAN44895,2023,Chevrolet,Silverado 1500,LT Trail Boss 4WD Crew Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83597CAN44895,2023,Chevrolet,Silverado 1500,LTZ 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83598CAN44895,2023,Chevrolet,Silverado 1500,LTZ 4WD Crew Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83599CAN44895,2023,Chevrolet,Silverado 1500,LTZ Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83600CAN44895,2023,Chevrolet,Silverado 1500,RST 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83601CAN44895,2023,Chevrolet,Silverado 1500,RST 4WD Crew Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83602CAN44895,2023,Chevrolet,Silverado 1500,RST 4WD Double Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83603CAN44895,2023,Chevrolet,Silverado 1500,RST Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83604CAN44895,2023,Chevrolet,Silverado 1500,WT 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83605CAN44895,2023,Chevrolet,Silverado 1500,WT 4WD Crew Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83606CAN44895,2023,Chevrolet,Silverado 1500,WT 4WD Double Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83607CAN44895,2023,Chevrolet,Silverado 1500,WT 4WD Reg Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83608CAN44895,2023,Chevrolet,Silverado 1500,WT 4WD Reg Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83609CAN44895,2023,Chevrolet,Silverado 1500,WT Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83610CAN44895,2023,Chevrolet,Silverado 1500,WT Crew Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83611CAN44895,2023,Chevrolet,Silverado 1500,WT Double Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83612CAN44895,2023,Chevrolet,Silverado 1500,WT Reg Cab Long box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83613CAN44895,2023,Chevrolet,Silverado 1500,WT Reg Cab Std box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83614CAN44895,2023,Chevrolet,Silverado 1500,ZR2 4WD Crew Cab Short box,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83168CAN44895,2023,Chevrolet,Corvette,Z06 Convertible 1LZ,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83169CAN44895,2023,Chevrolet,Corvette,Z06 Convertible 2LZ,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83170CAN44895,2023,Chevrolet,Corvette,Z06 Convertible 3LZ,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83171CAN44895,2023,Chevrolet,Corvette,Z06 Coupe 1LZ,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83172CAN44895,2023,Chevrolet,Corvette,Z06 Coupe 2LZ,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83173CAN44895,2023,Chevrolet,Corvette,Z06 Coupe 3LZ,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83308CAN44895,2023,Chevrolet,Express,2500 1LS,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83309CAN44895,2023,Chevrolet,Express,2500 1LT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83310CAN44895,2023,Chevrolet,Express,3500 1LS LWB,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83311CAN44895,2023,Chevrolet,Express,3500 1LS SWB,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83312CAN44895,2023,Chevrolet,Express,3500 1LT LWB,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83313CAN44895,2023,Chevrolet,Express,3500 1LT SWB,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83314CAN44895,2023,Chevrolet,Express Cargo,2500 1WT LWB,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83315CAN44895,2023,Chevrolet,Express Cargo,2500 1WT SWB,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83316CAN44895,2023,Chevrolet,Express Cargo,3500 1WT LWB,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHE83317CAN44895,2023,Chevrolet,Express Cargo,3500 1WT SWB,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CAN44895,2021,Chrysler,300,C 2WD,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78495CAN44895,2021,Chrysler,300,S 2WD,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78494CAN44895,2021,Chrysler,300,S All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR79614CAN44895,2021,Chrysler,300,S HEMI 2WD,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78499CAN44895,2021,Chrysler,300,Touring 2WD,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78496CAN44895,2021,Chrysler,300,Touring All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78498CAN44895,2021,Chrysler,300,Touring L 2WD,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78497CAN44895,2021,Chrysler,300,Touring L All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78531CAN44895,2021,Chrysler,Pacifica Hybrid,Touring CVT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78529CAN44895,2021,Chrysler,Pacifica Hybrid,Ltd CVT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78530CAN44895,2021,Chrysler,Pacifica Hybrid,Pinnacle CVT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78532CAN44895,2021,Chrysler,Pacifica Hybrid,Touring-L + CVT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78517CAN44895,2021,Chrysler,Grand Caravan,SE,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78518CAN44895,2021,Chrysler,Grand Caravan,SXT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78519CAN44895,2021,Chrysler,Pacifica,3.6 LIMITED AUTO 4WD 5-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78520CAN44895,2021,Chrysler,Pacifica,3.6 LIMITED AUTO Front Wheel Drive 5-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78521CAN44895,2021,Chrysler,Pacifica,3.6 PINNACLE AUTO 4WD 5-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78522CAN44895,2021,Chrysler,Pacifica,3.6 PINNACLE AUTO Front Wheel Drive 5-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78523CAN44895,2021,Chrysler,Pacifica,3.6 TOURING AUTO 4WD 5-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78524CAN44895,2021,Chrysler,Pacifica,3.6 TOURING AUTO Front Wheel Drive 5-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78525CAN44895,2021,Chrysler,Pacifica,3.6 TOURING-L AUTO 4WD 5-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78526CAN44895,2021,Chrysler,Pacifica,3.6 TOURING-L AUTO Front Wheel Drive 5-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78527CAN44895,2021,Chrysler,Pacifica,3.6 TOURING-L PLUS AUTO 4WD 5-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR78528CAN44895,2021,Chrysler,Pacifica,3.6 TOURING-L PLUS AUTO Front Wheel Drive 5-Door,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR81598CAN44895,2022,Chrysler,300,S All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR81599CAN44895,2022,Chrysler,300,S HEMI 2WD,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR81600CAN44895,2022,Chrysler,300,S 2WD,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR81601CAN44895,2022,Chrysler,300,Touring All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR81602CAN44895,2022,Chrysler,300,Touring L All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR81603CAN44895,2022,Chrysler,300,Touring L 2WD,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR81604CAN44895,2022,Chrysler,300,Touring 2WD,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80888CAN44895,2022,Chrysler,Grand Caravan,SXT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80890CAN44895,2022,Chrysler,Pacifica,Ltd,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80889CAN44895,2022,Chrysler,Pacifica,Ltd All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80892CAN44895,2022,Chrysler,Pacifica,Pinnacle,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80891CAN44895,2022,Chrysler,Pacifica,Pinnacle All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80894CAN44895,2022,Chrysler,Pacifica,Touring,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80893CAN44895,2022,Chrysler,Pacifica,Touring All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80896CAN44895,2022,Chrysler,Pacifica,Touring-L,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80895CAN44895,2022,Chrysler,Pacifica,Touring-L All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80897CAN44895,2022,Chrysler,Pacifica Hybrid,Ltd CVT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80898CAN44895,2022,Chrysler,Pacifica Hybrid,Pinnacle CVT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
CHR80899CAN44895,2022,Chrysler,Pacifica Hybrid,Touring-L CVT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78533CAN44895,2021,Dodge,Challenger,GT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78534CAN44895,2021,Dodge,Challenger,GT All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78535CAN44895,2021,Dodge,Challenger,R/T,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78538CAN44895,2021,Dodge,Challenger,SRT Hellcat Redeye,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78539CAN44895,2021,Dodge,Challenger,SRT Hellcat Redeye Widebody,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD79403CAN44895,2021,Dodge,Challenger,SRT Super Stock,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78540CAN44895,2021,Dodge,Challenger,SXT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78541CAN44895,2021,Dodge,Challenger,SXT All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78536CAN44895,2021,Dodge,Challenger,Scat Pack 392,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78537CAN44895,2021,Dodge,Challenger,Scat Pack 392 Widebody,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78503CAN44895,2021,Dodge,Charger,GT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78504CAN44895,2021,Dodge,Charger,GT All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78505CAN44895,2021,Dodge,Charger,R/T,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78508CAN44895,2021,Dodge,Charger,SRT Hellcat Redeye Widebody,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78509CAN44895,2021,Dodge,Charger,SXT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78510CAN44895,2021,Dodge,Charger,SXT All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78506CAN44895,2021,Dodge,Charger,Scat Pack,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78507CAN44895,2021,Dodge,Charger,Scat Pack WideBody,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78268CAN44895,2021,Dodge,Durango,Citadel All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78267CAN44895,2021,Dodge,Durango,Citadel Anodized Platinum All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78269CAN44895,2021,Dodge,Durango,GT All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78270CAN44895,2021,Dodge,Durango,R/T All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78271CAN44895,2021,Dodge,Durango,SRT 392 All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD79376CAN44895,2021,Dodge,Durango,SRT Hellcat All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD78272CAN44895,2021,Dodge,Durango,SXT All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD81799CAN44895,2022,Dodge,Challenger,GT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD81800CAN44895,2022,Dodge,Challenger,GT All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD81801CAN44895,2022,Dodge,Challenger,R/T,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD81805CAN44895,2022,Dodge,Challenger,SRT Hellcat Redeye,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD81806CAN44895,2022,Dodge,Challenger,SRT Hellcat Redeye Widebody,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD81809CAN44895,2022,Dodge,Challenger,SRT Super Stock,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD81810CAN44895,2022,Dodge,Challenger,SXT,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD81811CAN44895,2022,Dodge,Challenger,SXT All Wheel Drive,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD81802CAN44895,2022,Dodge,Challenger,Scat Pack 392,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
DOD81803CAN44895,2022,Dodge,Challenger,Scat Pack 392 Widebody,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
